ID,Ora di inizio,Ora di completamento,Posta elettronica,,time,,talking,"Subject pair ID
",,"Feedback - Subject pair ID
",Subject ID,Points - Subject ID,Feedback - Subject ID,Method,Points - Method,Feedback - Method,Environment,Points - Environment,Feedback - Environment,"Points - Rate each item between 1 (= strongly disagree) to 5 (=totally agree):
","Feedback - Rate each item between 1 (= strongly disagree) to 5 (=totally agree):
",I worked closely together with my partner,Points - I worked closely together with my partner ,Feedback - I worked closely together with my partner , I was fully aware of what my partner was doing ,Points -  I was fully aware of what my partner was doing ,Feedback -  I was fully aware of what my partner was doing ,I contributed a lot to the final design,Points - I contributed a lot to the final design,Feedback - I contributed a lot to the final design,The group work was very effective ,Points - The group work was very effective ,Feedback - The group work was very effective ,I am very satisfied of my work in the team,Points - I am very satisfied of my work in the team,Feedback - I am very satisfied of my work in the team,My partner did not help me very much.,Points - My partner did not help me very much.,Feedback - My partner did not help me very much.,The other understood what I meant. ,Points - The other understood what I meant. ,Feedback - The other understood what I meant. , I understood what the other meant,Points -  I understood what the other meant,Feedback -  I understood what the other meant,Points - Rate each item between 1 (= strongly disagree) to 5 (=totally agree):,SUS,I think that I would like to use this system frequently,Points - I think that I would like to use this system frequently,Feedback - I think that I would like to use this system frequently,I found the system unnecessarily complex.,Points - I found the system unnecessarily complex.,Feedback - I found the system unnecessarily complex.,I thought the system was easy to use.  ,,,Points - I thought the system was easy to use.  ,,,Feedback - I thought the system was easy to use.  ,,, ,,I think that I would need the support of a technical person to be able to use this system.,Points -  ,,I think that I would need the support of a technical person to be able to use this system.,Feedback -  ,,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated. ,Points - I found the various functions in this system were well integrated. ,Feedback - I found the various functions in this system were well integrated. ,I thought there was too much inconsistency in this system. ,Feedback - I thought there was too much inconsistency in this system. ,Points - I thought there was too much inconsistency in this system. ,I  would  imagine that most people would learn to use this system  very  quickly. ,Feedback - I  would  imagine that most people would learn to use this system  very  quickly. ,Points - I  would  imagine that most people would learn to use this system  very  quickly. ,I found the system very cumbersome to use.,Feedback - I found the system very cumbersome to use.,Points - I found the system very cumbersome to use.,I felt  very  confident  using the system.  ,,,Feedback - I felt  very  confident  using the system.  ,,,Points - I felt  very  confident  using the system.  ,,,I needed to learn a lot of things  before  I could  get going with this system.,Feedback - I needed to learn a lot of things  before  I could  get going with this system.,Points - I needed to learn a lot of things  before  I could  get going with this system.,Feedback - Rate each item between 1 (= strongly disagree) to 5 (=totally agree):2,Points - Rate each item between 1 (= strongly disagree) to 5 (=totally agree):2,I felt happy performing the task.,Feedback - I felt happy performing the task.,Points - I felt happy performing the task.,I felt to be more dominant than the other user regarding performing decisions.,Feedback - I felt to be more dominant than the other user regarding performing decisions.,Points - I felt to be more dominant than the other user regarding performing decisions.,I felt the other user to be more dominant than me regarding performing decisions.,Feedback - I felt the other user to be more dominant than me regarding performing decisions.,Points - I felt the other user to be more dominant than me regarding performing decisions.,I found it hard to think properly or concentrate.,Feedback - I found it hard to think properly or concentrate.,Points - I found it hard to think properly or concentrate.,I did enjoy the task.,Feedback - I did enjoy the task.,Points - I did enjoy the task.,It was hard for me to make up my mind.,Feedback - It was hard for me to make up my mind.,Points - It was hard for me to make up my mind.,I felt calm performing the task.,Feedback - I felt calm performing the task.,Points - I felt calm performing the task.,I felt angry performing the task.,Feedback - I felt angry performing the task.,Points - I felt angry performing the task.,I felt anxious performing the task.,Feedback - I felt anxious performing the task.,Points - I felt anxious performing the task.,I was bored during the task.,Feedback - I was bored during the task.,Points - I was bored during the task.,I feel satisfied about the final result.,Feedback - I feel satisfied about the final result.,Points - I feel satisfied about the final result.,"(Optional) If you want to add further remarks, please do below:","Feedback - (Optional) If you want to add further remarks, please do below:","Points - (Optional) If you want to add further remarks, please do below:"
1,1/16/23 17:23:36,1/16/23 17:25:52,anonymous,0.00694444444444444,600,,35.5,1,,,,,,Forced commit,,,Living room,,,,,5,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,90,5,,,2,,,4,,,1,,,5,,,2,,,4,,,1,,,5,,,1,,,,,5,,,4,,,2,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
2,1/16/23 17:22:58,1/16/23 17:26:54,anonymous,0.00694444444444444,600,,35.5,1,,,,,,Forced commit,,,Living room,,,,,4,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,70,4,,,2,,,4,,,3,,,5,,,1,,,3,,,4,,,3,,,1,,,,,5,,,2,,,2,,,1,,,5,,,1,,,5,,,2,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
3,1/16/23 17:42:15,1/16/23 17:44:08,anonymous,0.00578703703703704,500,,44.6,1,,,,,,Voting commit,,,Office,,,,,5,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,90,5,,,2,,,5,,,1,,,4,,,2,,,4,,,1,,,5,,,1,,,,,5,,,3,,,3,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
4,1/16/23 17:41:56,1/16/23 17:44:18,anonymous,0.00578703703703704,500,,44.6,1,,,,,,Voting commit,,,Office,,,,,4,,,4,,,5,,,5,,,5,,,1,,,5,,,5,,,,67.5,3,,,3,,,3,,,3,,,5,,,1,,,3,,,3,,,4,,,1,,,,,5,,,2,,,2,,,1,,,5,,,1,,,4,,,2,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
5,1/17/23 15:52:50,1/17/23 15:57:12,anonymous,0.00634259259259259,548,,25.18,2,,,2 client,,,Voting commit,,,Office,,,,,5,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,90,5,,,1,,,5,,,2,,,4,,,1,,,4,,,2,,,5,,,1,,,,,5,,,1,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
6,1/17/23 15:52:57,1/17/23 15:57:29,anonymous,0.00634259259259259,548,,25.18,2,,,2 server,,,Voting commit,,,Office,,,,,2,,,3,,,2,,,5,,,5,,,1,,,5,,,5,,,,70,4,,,1,,,3,,,4,,,5,,,1,,,4,,,2,,,1,,,1,,,,,4,,,1,,,2,,,2,,,5,,,5,,,4,,,1,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,
7,1/17/23 16:07:00,1/17/23 16:09:19,anonymous,0.00350694444444444,303,,23.1,2,,,2 server,,,Forced commit,,,Living room,,,,,5,,,5,,,3,,,5,,,5,,,1,,,5,,,4,,,,82.5,5,,,1,,,4,,,2,,,4,,,2,,,4,,,1,,,4,,,2,,,,,5,,,2,,,2,,,2,,,5,,,2,,,4,,,1,,,2,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
8,1/17/23 16:06:51,1/17/23 16:09:38,anonymous,0.00350694444444444,303,,23.1,2,,,2 client,,,Forced commit,,,Living room,,,,,5,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,95,5,,,1,,,5,,,1,,,4,,,2,,,5,,,1,,,5,,,1,,,,,5,,,1,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
9,1/17/23 16:58:23,1/17/23 17:01:09,anonymous,0.00530092592592593,458,,31,3,,,3 server,,,Forced commit,,,Office,,,,,2,,,3,,,4,,,3,,,4,,,3,,,4,,,4,,,,87.5,5,,,1,,,5,,,2,,,4,,,2,,,5,,,3,,,5,,,1,,,,,4,,,3,,,3,,,1,,,5,,,3,,,5,,,2,,,1,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,
10,1/17/23 16:58:36,1/17/23 17:01:18,anonymous,0.00530092592592593,458,,31,3,,,3 client,,,Forced commit,,,Office,,,,,4,,,2,,,5,,,4,,,5,,,1,,,5,,,5,,,,82.5,4,,,1,,,5,,,1,,,4,,,2,,,3,,,3,,,5,,,1,,,,,5,,,1,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,
11,1/17/23 17:14:24,1/17/23 17:16:06,anonymous,0.00521990740740741,451,,11.97,3,,,3 server,,,Voting commit,,,Living room,,,,,3,,,2,,,4,,,3,,,4,,,2,,,4,,,4,,,,92.5,5,,,1,,,5,,,2,,,5,,,1,,,5,,,3,,,5,,,1,,,,,5,,,3,,,3,,,1,,,4,,,1,,,5,,,1,,,1,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,
12,1/17/23 17:02:54,1/17/23 17:16:08,anonymous,0.00521990740740741,451,,11.97,3,,,3 client,,,Voting commit,,,Living room,,,,,5,,,5,,,4,,,4,,,4,,,1,,,5,,,5,,,,92.5,5,,,1,,,5,,,1,,,5,,,1,,,4,,,3,,,5,,,1,,,,,5,,,2,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,
13,1/18/23 15:20:58,1/18/23 15:24:39,anonymous,0.0046875,405,,16.3,4,,,4 Client,,,Voting commit,,,Living room,,,,,3,,,2,,,4,,,4,,,3,,,2,,,4,,,4,,,,85,3,,,1,,,5,,,1,,,4,,,1,,,3,,,2,,,5,,,1,,,,,4,,,4,,,2,,,2,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
14,1/18/23 15:20:59,1/18/23 15:25:20,anonymous,0.0046875,405,,16.3,4,,,4 server,,,Voting commit,,,Living room,,,,,5,,,4,,,5,,,5,,,5,,,1,,,5,,,5,,,,80,5,,,1,,,4,,,3,,,5,,,1,,,4,,,2,,,3,,,2,,,,,5,,,1,,,2,,,1,,,5,,,2,,,5,,,1,,,2,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
15,1/18/23 15:33:35,1/18/23 15:36:07,anonymous,0.00378472222222222,327,,35.17,4,,,4 server ,,,Forced commit,,,Office,,,,,5,,,5,,,5,,,5,,,5,,,1,,,5,,,5,,,,87.5,5,,,1,,,4,,,3,,,5,,,1,,,4,,,1,,,4,,,1,,,,,5,,,1,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
16,1/18/23 15:33:43,1/18/23 15:36:13,anonymous,0.00378472222222222,327,,35.17,4,,,4 Client,,,Forced commit,,,Office,,,,,5,,,4,,,4,,,5,,,5,,,1,,,4,,,4,,,,87.5,3,,,1,,,5,,,1,,,4,,,1,,,3,,,1,,,5,,,1,,,,,5,,,1,,,1,,,1,,,5,,,1,,,5,,,1,,,1,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,
17,1/18/23 16:11:52,1/18/23 16:16:35,anonymous,0.00326388888888889,282,,20.57,5,,,5 client,,,Forced commit,,,Living room,,,,,3,,,3,,,3,,,4,,,5,,,1,,,5,,,5,,,,80,4,,,2,,,4,,,2,,,4,,,1,,,4,,,1,,,3,,,1,,,,,5,,,1,,,1,,,2,,,5,,,2,,,4,,,1,,,1,,,1,,,4,,,Era complicato il grab degli oggetti a distanza. o forse io non ero capace,,,,,,,,,,,,,,,,,,,,
